Since Beginning Seconds,Epsiode,Mean Cumulative Episodic Reward,Mean Accuracy
156.339481,1,0.572903693,0.038453265
252.380449,2,0.578446397,0.039283638
351.829555,3,0.592499295,0.040779288
450.837268,4,0.582423186,0.039523974
509.731668,5,0.567219078,0.038493663
640.035746,6,0.589670945,0.040697763
737.618832,7,0.598490524,0.040849146
792.931151,8,0.524573555,0.035753357
880.753145,9,0.59380429,0.040126734
962.781971,10,0.572899947,0.038746069
1039.669882,11,0.579057294,0.03977354
1141.789275,12,0.632436454,0.043337947
1243.798148,13,0.609842608,0.041392324
1347.415968,14,0.587126212,0.039884015
1381.438409,15,0.567215174,0.038759
1483.679082,16,0.615238382,0.042007641
1588.520885,17,0.581071542,0.039735197
1694.050401,18,0.609335474,0.041665071
1736.317123,19,0.612589368,0.041578817
1847.31816,20,0.608711789,0.041079737
1959.292699,21,0.551964263,0.037792717
2075.438515,22,0.586209003,0.039580651
2170.680006,23,0.5845721,0.040137473
2210.033913,24,0.569363643,0.039072768
2314.200814,25,0.518797479,0.034874567
2438.418286,26,0.546381967,0.0370481
2563.849994,27,0.558268213,0.03756561
2665.276841,28,0.582527933,0.039768623
2794.046685,29,0.606283784,0.041222107
2836.961562,30,0.561868657,0.038804373
2930.26614,31,0.582358746,0.039642086
3065.231782,32,0.589286523,0.039894984
3203.249405,33,0.604304398,0.041516213
3249.426416,34,0.605574996,0.040915745
3388.759217,35,0.612940852,0.041219155
3529.030941,36,0.549913291,0.0376851
3677.454004,37,0.617300693,0.042346805
3728.029047,38,0.567642512,0.03870609
3878.884818,39,0.607282946,0.041498284
4033.380571,40,0.593407966,0.040381043
4119.293369,41,0.609817193,0.042218962
4278.951326,42,0.55715133,0.038003397
4440.905472,43,0.588593931,0.040305224
4604.739069,44,0.572558378,0.039064163
4659.586594,45,0.562857244,0.038742724
4823.579141,46,0.58343192,0.039623998
4991.421526,47,0.592999313,0.040522627
5048.9249,48,0.598719564,0.041827534
5217.520524,49,0.561284774,0.038702316
5392.672364,50,0.60123125,0.041010519
5538.001355,51,0.580302832,0.040023878
5711.538457,52,0.619511566,0.042141341
5770.555574,53,0.57976925,0.039133213
5946.444527,54,0.588401272,0.040056501
6125.055741,55,0.576267829,0.039435572
6305.676824,56,0.58103789,0.039880476
6487.433447,57,0.61162026,0.042063432
6550.320731,58,0.562938629,0.038384651
6613.555362,59,0.589042332,0.040048318
6677.283217,60,0.607415535,0.040811812
6873.438531,61,0.553291397,0.037149267
7077.567335,62,0.550941737,0.037160118
7284.249414,63,0.60734176,0.040815393
7494.227464,64,0.596504315,0.04093665
7706.717065,65,0.572051034,0.039308991
7919.972322,66,0.618200053,0.042087677
8083.817031,67,0.542382507,0.037783028
8301.905599,68,0.567522076,0.038849751
8527.489787,69,0.571371396,0.038984949
8754.457331,70,0.602746123,0.041278711
8832.556499,71,0.617032153,0.042748342
9062.115402,72,0.54858118,0.037286816
9140.006658,73,0.58578286,0.040434496
9375.732501,74,0.595322393,0.040627781
9615.841119,75,0.613211979,0.041775357
9853.568349,76,0.610290647,0.041451694
9936.5523,77,0.566527844,0.03894471
10182.69915,78,0.616604595,0.041490272
10428.41156,79,0.551220332,0.037241498
10679.21001,80,0.58210363,0.039873223
10932.65244,81,0.580230716,0.03979556
11226.53774,82,0.616732981,0.041839661
11477.8041,83,0.620759322,0.041943749
11724.51056,84,0.560018378,0.037945584
11807.33166,85,0.561272935,0.038217722
11891.33383,86,0.584204585,0.039353564
11976.28012,87,0.602730052,0.041387878
12229.25793,88,0.628160642,0.042628616
12486.03426,89,0.557732288,0.038087852
12743.46862,90,0.557456423,0.037841545
12830.96366,91,0.579005552,0.039410097
13091.16269,92,0.623840964,0.042561418
13354.40598,93,0.554088558,0.038142495
13622.76445,94,0.640395052,0.043481788
13711.13045,95,0.559040748,0.03814434
13800.49368,96,0.601557415,0.041562045
13890.10946,97,0.564586847,0.038299076
14160.62416,98,0.599596372,0.041223094
14433.497,99,0.584195237,0.039592996
14708.43463,100,0.577914945,0.038778523
